Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://180dc.org/wp-content/uploads/2018/10/Ucsb-henley.png
UCI,A great university located in Irvine,33.644167,-117.845278,"https://en.wikipedia.org/wiki/University_of_California,_Irvine",https://ce.uci.edu/images/sidebars/uci_ce_building_2x.jpg
UCLA,A great university located in Los Angles,34.0700,-118.4398,"https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles",https://luskinconferencecenter.ucla.edu/wp-content/uploads/2018/03/Blog_Luskin.jpg
UCSD,A great university located in San Diego,32.877492,-117.235277,"https://en.wikipedia.org/wiki/University_of_California,_San_Diego",https://ucsdnews.ucsd.edu/news_uploads/29751173968_195fb33dbc_z.jpg
UCB,A great university located in San Fancisco,37.871853,-122.258423,"https://en.wikipedia.org/wiki/University_of_California,_Berkeley",https://www.assar.com/sites/default/files/styles/projects_large/public/CD6311_660_630_128.jpg?itok=tkbRewb8
LAX,A great airport located in Los Angles,33.942791,-118.410042,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,https://media.nbclosangeles.com/images/652*394/lax-picture.jpg
